timestamp,detectionType,detected,reason,request,response
2025-03-16T15:19:52.871Z,ratelimit,true,Endpoint rate limit exceeded: 33 requests in last minute to /api/v2/mgmts/oauth/2.0/token (limit: 10),"{""url"":""/api/v2/mgmts/oauth/2.0/token"",""method"":""GET"",""authorization"":"""",""user-agent"":""rate-limit-detector"",""x-api-tran-id"":""anya123456-1742138392870"",""x-api-type"":""system"",""x-csrf-token"":"""",""cookie"":"""",""set-cookie"":"""",""content-length"":""0"",""body"":""""}","{""status"":""429"",""x-api-tran-id"":""anya123456-1742138392870"",""content-type"":""application/json"",""body"":""{\""error\"":\""Too Many Requests\""}""}"
2025-03-16T15:19:52.872Z,ratelimit,true,Endpoint rate limit exceeded: 32 requests in last minute to /api/v2/mgmts/orgs (limit: 30),"{""url"":""/api/v2/mgmts/orgs"",""method"":""GET"",""authorization"":"""",""user-agent"":""rate-limit-detector"",""x-api-tran-id"":""anya123456-1742138392872"",""x-api-type"":""system"",""x-csrf-token"":"""",""cookie"":"""",""set-cookie"":"""",""content-length"":""0"",""body"":""""}","{""status"":""429"",""x-api-tran-id"":""anya123456-1742138392872"",""content-type"":""application/json"",""body"":""{\""error\"":\""Too Many Requests\""}""}"
2025-03-16T15:19:52.872Z,ratelimit,true,Endpoint rate limit exceeded: 32 requests in last minute to /api/oauth/2.0/token (limit: 10),"{""url"":""/api/oauth/2.0/token"",""method"":""GET"",""authorization"":"""",""user-agent"":""rate-limit-detector"",""x-api-tran-id"":""anya123456-1742138392872"",""x-api-type"":""system"",""x-csrf-token"":"""",""cookie"":"""",""set-cookie"":"""",""content-length"":""0"",""body"":""""}","{""status"":""429"",""x-api-tran-id"":""anya123456-1742138392872"",""content-type"":""application/json"",""body"":""{\""error\"":\""Too Many Requests\""}""}"
2025-03-16T15:19:52.872Z,ratelimit,true,Endpoint rate limit exceeded: 32 requests in last minute to /api/ca/sign_request (limit: 20),"{""url"":""/api/ca/sign_request"",""method"":""GET"",""authorization"":"""",""user-agent"":""rate-limit-detector"",""x-api-tran-id"":""anya123456-1742138392872"",""x-api-type"":""system"",""x-csrf-token"":"""",""cookie"":"""",""set-cookie"":"""",""content-length"":""0"",""body"":""""}","{""status"":""429"",""x-api-tran-id"":""anya123456-1742138392872"",""content-type"":""application/json"",""body"":""{\""error\"":\""Too Many Requests\""}""}"
2025-03-16T15:19:52.872Z,ratelimit,true,Endpoint rate limit exceeded: 32 requests in last minute to /api/ca/sign_result (limit: 20),"{""url"":""/api/ca/sign_result"",""method"":""GET"",""authorization"":"""",""user-agent"":""rate-limit-detector"",""x-api-tran-id"":""anya123456-1742138392872"",""x-api-type"":""system"",""x-csrf-token"":"""",""cookie"":"""",""set-cookie"":"""",""content-length"":""0"",""body"":""""}","{""status"":""429"",""x-api-tran-id"":""anya123456-1742138392872"",""content-type"":""application/json"",""body"":""{\""error\"":\""Too Many Requests\""}""}"
2025-03-16T15:19:52.872Z,ratelimit,true,Endpoint rate limit exceeded: 32 requests in last minute to /api/ca/sign_verification (limit: 30),"{""url"":""/api/ca/sign_verification"",""method"":""GET"",""authorization"":"""",""user-agent"":""rate-limit-detector"",""x-api-tran-id"":""anya123456-1742138392872"",""x-api-type"":""system"",""x-csrf-token"":"""",""cookie"":"""",""set-cookie"":"""",""content-length"":""0"",""body"":""""}","{""status"":""429"",""x-api-tran-id"":""anya123456-1742138392872"",""content-type"":""application/json"",""body"":""{\""error\"":\""Too Many Requests\""}""}"
